Rd,Home,Away,Score,Formation,Opp Formation,Result
1,PSM,Persijap,1–1,4-4-2,4-1-3-2,D
2,Bhayangkara ,PSM,1–1,4-2-3-1,4-2-3-1,D
3,Semen Padang,PSM,1–1,4-2-3-1,4-2-3-1,D
4,PSM,Persebaya,1–1,4-4-2,4-2-3-1,D
5,Persita,PSM,2–1,4-2-3-1,4-2-3-1,L
6,PSM,Persija,2–0,4-5-1,4-2-3-1,W
7,PSM,PSIM,0–0,4-1-4-1,3-4-3,D
8,Persib,PSM,1–0,4-2-3-1,4-2-3-1,L
9,PSM,Arema,1–2,4-2-3-1,4-2-3-1,L
10,Persik,PSM,1–1,4-2-3-1,4-2-3-1,D
11,PSM,Madura Utd,1–1,4-3-3,4-4-2,D
12,Dewa Utd,PSM,0–1,4-3-3,4-2-3-1,W
13,PSM,PSBS,5–0,4-4-2,4-4-2,W
14,Persis,PSM,3–4,4-2-3-1,4-4-1-1,W
15,PSM,Malut Utd,0–1,4-2-3-1,4-2-3-1,L
16,Borneo,PSM,2–1,4-4-1-1,4-3-3,L
17,PSM,Bali Utd,0–2,4-2-1-3,4-1-4-1,L
18,Persijap,PSM,2–0,4-4-1-1,4-4-2,L
19,PSM,Semen Padang,0–0,4-4-2,4-4-2,D
20,PSBS,PSM,1–2,4-4-2,4-4-2,W
21,PSM,Dewa Utd,0–2,4-4-2,4-2-3-1,L
22,Persija,PSM,2–1,4-4-2,4-4-2,L
23,Persebaya,PSM,1–0,4-3-3,4-2-3-1,L
24,PSM,Persita,2–4,4-4-2,4-3-3,L
25,Malut Utd,PSM,3–3,4-4-2,4-2-3-1,D
26,PSM,Persis,1–1,4-4-2,4-1-4-1,D
27,PSIM,PSM,1–2,4-2-3-1,4-2-1-3,W
28,PSM,Borneo,1–2,4-1-4-1,4-3-3,L
29,PSM,Persik,3–1,4-3-3,4-2-3-1,W
30,Bali Utd,PSM,2–0,4-1-4-1,4-2-3-1,L
31,PSM,Bhayangkara ,2–1,4-3-3,4-3-3,W
32,Arema,PSM,3–0,4-3-3,4-3-3,L
